asin,ship_state_or_territory,category,regional_orders,rank
B0983F3BLZ,uttar pradesh,set,22,2
B0894Y4PNG,uttar pradesh,set,22,1
B08XQ98B2Q,haryana,set,22,6
B099NWNGVK,maharashtra,set,22,1
B09K3Y42F5,uttar pradesh,kurta,22,3
B099NS55L1,telangana,western dress,22,3
B0894X711G,maharashtra,set,22,1
B08XNJ8P3S,delhi,set,22,4
B08XQBF1G4,delhi,set,22,6
B08W9P5TV7,maharashtra,set,22,1
B08BFV1DVW,maharashtra,kurta,22,1
B09SDY8DCT,delhi,western dress,22,9
B091T18F3W,maharashtra,western dress,22,1
B08WQ1W4JV,maharashtra,kurta,22,1
B09SDYQ3WG,andhra pradesh,western dress,22,7
B099FC46Q8,maharashtra,kurta,22,1
B081WVMMCY,telangana,kurta,22,6
B08KRXV1QR,telangana,kurta,22,4
B08KRXTFXH,karnataka,kurta,22,2
B08RP69C9N,telangana,kurta,22,3
B0822TDMYH,maharashtra,set,22,2
B09831P2JC,maharashtra,western dress,22,1
B09NDMP4XK,karnataka,set,22,2
B09831T4CQ,maharashtra,western dress,22,3
B098315N2Z,telangana,western dress,22,3
B0982Z1994,telangana,western dress,22,1
B09SDZ4FH9,karnataka,kurta,22,1
B099FD3RH8,tamil nadu,kurta,22,1
B082W7MZVQ,kerala,kurta,22,5
B09NQ4DD29,karnataka,set,22,2
B0986XJDJ4,karnataka,top,22,1
B09NQ51MPV,karnataka,set,21,1
B0894XGJ83,karnataka,set,21,1
B089G2JV7X,kerala,set,21,1
B09SDZ4FH9,maharashtra,kurta,21,2
B099NK55YG,tamil nadu,set,21,4
B09HMTKV2L,karnataka,kurta,21,2
B08RNPK8FX,maharashtra,kurta,21,2
B099NRCT7B,kerala,western dress,21,5
B099NK55YG,karnataka,set,21,3
B08RP3YXBX,maharashtra,kurta,21,1
B08XVKMPHJ,karnataka,kurta,21,1
B09NQ47F17,karnataka,set,21,1
B09K4182W8,maharashtra,kurta,21,1
B09SDXG1CP,karnataka,western dress,21,3
B08XVKMPHJ,telangana,kurta,21,2
B08RP29G54,maharashtra,kurta,21,1
B09SDXG1CP,tamil nadu,western dress,21,2
B099NJ4XRB,maharashtra,set,21,1
B08KS2BCHS,maharashtra,kurta,21,1
B08KRXV1QR,uttar pradesh,kurta,21,5
B08WPR5MCB,maharashtra,kurta,21,1
B09SDY4VDC,uttar pradesh,western dress,21,6
B081WSL2JS,west bengal,kurta,21,2
B08XVRKF6V,tamil nadu,kurta,21,1
B081WSL2JS,uttar pradesh,kurta,21,3
B0894XKVH3,karnataka,set,21,3
B07R4XJNW3,andhra pradesh,kurta,21,4
B082W8354V,kerala,kurta,21,5
B09SDYNZQ5,maharashtra,western dress,21,1
B0828PD16L,karnataka,kurta,21,3
B09NQ4QS13,maharashtra,set,21,1
B0894XH3LN,delhi,set,21,5
B08BFLKNGJ,telangana,kurta,21,1
B0783Q5HMF,karnataka,kurta,21,1
B07R52578F,karnataka,kurta,21,2
B09NDKQD88,maharashtra,set,21,2
B081WX4G4Q,andhra pradesh,kurta,21,7
B089G2L483,tamil nadu,set,21,1
B09SDY8DCT,gujarat,western dress,21,10
B09NDKN86H,maharashtra,set,21,1
B08RYQQD6Z,karnataka,top,20,1
B08BFLKNGJ,tamil nadu,kurta,20,2
B09QJ48G25,uttar pradesh,set,20,1
B0983F3BLZ,karnataka,set,20,3
B0982Z1994,karnataka,western dress,20,2
B077M6KWYJ,karnataka,kurta,20,1
B08B3XS7ST,uttar pradesh,set,20,2
B0986TGXF9,maharashtra,top,20,1
B09SDXG1CP,kerala,western dress,20,4
B094FR7J54,karnataka,set,20,1
B081WSCKPQ,gujarat,kurta,20,9
B0986XYFFP,maharashtra,top,20,1
B08W9MFDJD,maharashtra,set,20,1
B081WSWWL7,kerala,kurta,20,5
B081WVMMCY,delhi,kurta,20,7
B09831XC46,karnataka,western dress,20,1
B07R4XJNW3,telangana,kurta,20,5
B09HMY3YLT,tamil nadu,kurta,20,2
B0986ZWRKD,maharashtra,top,20,1
B081WZ4T3V,karnataka,kurta,20,4
B09SDXRYBG,andhra pradesh,western dress,20,7
B08WPR181B,telangana,kurta,20,2
B08B3YPD63,tamil nadu,set,20,2
B0894Y3VBB,karnataka,set,20,5
B08YN7XDSG,tamil nadu,set,20,2
B09831YHGV,telangana,western dress,20,3
B09NQ4CZ65,karnataka,set,20,2
B09SDXSQ33,andhra pradesh,western dress,20,6
B091Q84CBF,maharashtra,kurta,20,1
B081XBQBGF,maharashtra,kurta,20,1
B08B3YWTLK,tamil nadu,kurta,20,1
B081XCMYXJ,tamil nadu,kurta,20,3
B08XW66LTH,maharashtra,kurta,20,1
B08CMV6SCJ,maharashtra,set,20,1
B0822T2BM8,maharashtra,set,20,1
B09B3GS5CM,maharashtra,top,20,1
B09TH4H7T2,kerala,western dress,20,1
B08XNDL1DL,haryana,set,20,4
B0982ZRVSC,telangana,western dress,20,1
B099FDMD6T,maharashtra,kurta,20,1
B099NHHY1T,maharashtra,set,20,1
B082W8B28G,telangana,kurta,20,5
B08KRTXC2Y,telangana,kurta,20,3
B08XNJ8P3S,telangana,set,20,5
B082W8BXW1,telangana,kurta,20,5
B08RYQNCQ1,delhi,top,20,2
B08XNJG8B1,gujarat,set,20,7
B08XNJG8B1,bihar,set,20,8
B08XQ98B2Q,uttar pradesh,set,20,8
B08XQ98B2Q,delhi,set,20,7
B09K3XXDMR,karnataka,kurta,20,2
B09KXVG37D,karnataka,set,20,1
B08BF4PWCT,tamil nadu,kurta,20,1
B09K3XZC3J,maharashtra,kurta,20,1
B09KXV94NJ,maharashtra,set,20,2
B08BFT4ZKX,karnataka,kurta,20,2
B081WY1SP3,tamil nadu,kurta,19,4
B081WY1SP3,telangana,kurta,19,3
B08RP2Y81T,maharashtra,kurta,19,1
B0983D28F9,karnataka,set,19,1
B0982YZ51B,maharashtra,western dress,19,1
B081WX4G4Q,haryana,kurta,19,9
B081WX4G4Q,delhi,kurta,19,8
B08BFV1DVW,tamil nadu,kurta,19,2
B08XQ8MCKP,delhi,set,19,6
B07R59TDM1,maharashtra,set,19,1
B08RYRBZPC,uttar pradesh,top,19,2
B099S87FTK,karnataka,top,19,2
B081WT6GG7,delhi,kurta,19,4
B098314S8L,karnataka,western dress,19,1
B0986XYFFP,karnataka,top,19,2
B099FDH3P2,maharashtra,kurta,19,1
B09SDY51NS,maharashtra,kurta,19,2
B082W8F8P3,maharashtra,kurta,19,4
B08KRZRSCL,maharashtra,kurta,19,1
B09NQ44RNV,tamil nadu,set,19,4
B09NQ44RNV,uttar pradesh,set,19,5
B09NQ3MPRM,uttar pradesh,set,19,3
B09KXSQ73F,telangana,set,19,3
B08TH4MQD2,maharashtra,kurta,19,1
B08BF4PWCT,maharashtra,kurta,19,2
B099FDMD6T,karnataka,kurta,19,2
B09SDXSQ33,gujarat,western dress,19,7
B07R41RZV7,telangana,kurta,19,4
B08RNX8Q22,telangana,kurta,19,2
B08YZ24516,maharashtra,kurta,19,1
B09SDY51NS,karnataka,kurta,19,1
B08XNJG8B1,jharkhand,set,19,9
B099FBM4FZ,maharashtra,kurta,19,1
B099FC9KR1,telangana,kurta,19,1
B09K3XTK9M,maharashtra,kurta,19,1
B09SDY9SQ6,andhra pradesh,western dress,19,7
B091Q84CBF,karnataka,kurta,19,2
B0894XGJ83,maharashtra,set,19,2
B0982ZRDSY,karnataka,western dress,19,2
B09SDZ4FH9,tamil nadu,kurta,19,3
B09SDY6ZXQ,maharashtra,western dress,19,1
B08YN7XDSG,maharashtra,set,19,3
B0894Y4PNG,maharashtra,set,19,2
B099NJ1WVX,tamil nadu,kurta,19,1
B099NRCT7B,uttar pradesh,western dress,19,6
B07R487XRD,karnataka,set,19,1
B0894YB3B1,karnataka,set,19,2
B09NQ4QS13,karnataka,set,19,2
B08XQ8R6GW,telangana,set,19,3
B09SDZF54G,maharashtra,western dress,19,1
B09NDHQMKC,maharashtra,set,19,1
B09SDXWNPZ,tamil nadu,western dress,19,2
B07R41RZV7,maharashtra,kurta,19,3
B09RKF9GZQ,uttar pradesh,set,19,2
B09KXSVTDB,maharashtra,set,19,2
B09873BFC1,maharashtra,top,19,1
B09RKF9GZQ,maharashtra,set,19,1
B08XNJ19QH,gujarat,set,19,8
B09SDXTRS9,andhra pradesh,western dress,18,1
B08B3YWTLK,maharashtra,kurta,18,2
B07MY3TV42,maharashtra,set,18,1
B08XNDL1DL,delhi,set,18,5
B08YN44FZJ,uttar pradesh,set,18,3
B08KRXV1QR,kerala,kurta,18,7
B09NQ4NM75,madhya pradesh,set,18,4
B091Q9J9QL,telangana,kurta,18,1
B09K3S4P57,uttar pradesh,kurta,18,1
B09831P2JC,telangana,western dress,18,3
B07WP5G7MK,tamil nadu,kurta,18,1
B089G1JQCK,kerala,set,18,1
B08BJT3PSM,maharashtra,kurta,18,1
B0828PD16L,telangana,kurta,18,4
B08B3ZCRC5,maharashtra,set,18,1
B09NQ4NM75,kerala,set,18,5
B09831XC46,telangana,western dress,18,2
B077M6KWYJ,tamil nadu,kurta,18,2
B08WPR5MCB,telangana,kurta,18,2
B0983292DV,maharashtra,western dress,18,1
B08B3YC7HZ,maharashtra,kurta,18,1
B07R41S1YG,tamil nadu,kurta,18,1
B08B412RJH,maharashtra,set,18,1
B09SDXB141,kerala,western dress,18,2
B07R52578F,maharashtra,kurta,18,3
B08KRTXC2Y,uttar pradesh,kurta,18,4
B08ZHQ7W7T,maharashtra,top,18,1
B099NS9KRN,maharashtra,western dress,18,1
B09YYQV9JG,maharashtra,western dress,18,1
B099NNYQ1K,karnataka,kurta,18,1
B08KRXV1QR,delhi,kurta,18,6
B08B3YPD63,karnataka,set,18,3
B091Q9Q34N,karnataka,kurta,18,1
B099FCVXXD,maharashtra,kurta,18,1
B09NQ3P98W,karnataka,set,18,1
B08RNPK8FX,tamil nadu,kurta,18,3
B08RYRBZPC,haryana,top,18,3
B09SDXWNPZ,kerala,western dress,18,4
B09SDXG1CP,telangana,western dress,18,5
B09YYRG28X,maharashtra,western dress,18,1
B099S87FTK,uttar pradesh,top,18,3
B09SDXWNPZ,karnataka,western dress,18,3
B09HMTKV2L,uttar pradesh,kurta,18,3
B08RNX8Q22,karnataka,kurta,18,3
B08XVFSDR2,karnataka,kurta,18,1
B08XQBF1G4,west bengal,set,18,7
B09KXVPJ7M,karnataka,set,18,1
B09831P2JC,karnataka,western dress,18,2
B0986XJDJ4,maharashtra,top,18,2
B08B415N6S,uttar pradesh,set,18,2
B09NQ4DD29,uttar pradesh,set,18,3
B099NR7612,maharashtra,western dress,18,5
B09KXV4BN8,telangana,set,18,4
B09K3LJWBB,karnataka,set,18,1
B089G1ZNLX,tamil nadu,set,18,2
B081WSL2JS,karnataka,kurta,18,4
B08XQBXFPP,telangana,set,18,4
B099FD3RH8,telangana,kurta,18,2
B099NQJZPQ,tamil nadu,western dress,18,4
B09SDXFFQ1,haryana,western dress,18,10
B0894YB3B1,uttar pradesh,set,18,3
B08BFVXK6N,tamil nadu,kurta,18,1
B09SDZ4FH9,telangana,kurta,18,4
B09SDXB141,maharashtra,western dress,18,1
B09NDKQD88,tamil nadu,set,17,3
